,datadate,turbulence
1821,20190703,30.179269452910074
1822,20190704,31.71540666494658
1823,20190705,34.36380831190512
1824,20190708,30.38545039979505
1825,20190709,30.37712185356711
1826,20190710,29.81179694883605
1827,20190711,29.54622397991365
1828,20190712,31.769704027103113
1829,20190715,29.404019530309604
1830,20190716,27.710285461996
1831,20190717,26.164513565218122
1832,20190718,25.824044807291052
1833,20190719,29.762809444228765
1834,20190722,29.402926137786515
1835,20190723,26.193754097478905
1836,20190724,26.602567041259206
1837,20190725,31.27965395265711
1838,20190726,30.09999625868067
1839,20190729,26.182041950924212
1840,20190730,25.30407442074883
1841,20190731,24.18098620582304
1842,20190801,23.244552182527855
1843,20190802,22.045137502230162
1844,20190805,21.395045192704977
1845,20190806,21.14843781303201
1846,20190807,20.755936797064578
1847,20190808,22.392393862975943
1848,20190809,20.87101685712632
1849,20190812,25.311050906540142
1850,20190813,26.27270803707279
1851,20190814,29.021774910360975
1852,20190815,28.219149472528898
1853,20190816,29.59688834149115
1854,20190819,32.04577363494154
1855,20190820,33.42901683309986
1856,20190821,32.31980059444926
1857,20190822,39.75462399954786
1858,20190823,42.99942072177399
1859,20190826,41.017844136899754
1860,20190827,40.180895766912485
1861,20190828,40.72572757874105
1862,20190829,45.87990747788031
1863,20190830,52.84308423475635
1864,20190902,47.38959101386922
1865,20190903,45.69061979051722
1866,20190904,38.0246300744215
1867,20190905,37.90279837750587
1868,20190906,36.872284192441775
1869,20190909,35.99550745206501
1870,20190910,38.31113516915517
1871,20190911,30.78584011351775
1872,20190912,34.79327552761183
1873,20190916,36.358942326909954
1874,20190917,34.42273029979755
1875,20190918,40.63303496613044
1876,20190919,41.488730623270385
1877,20190920,44.768035984661466
1878,20190923,46.1496092428428
1879,20190924,54.73299856926717
1880,20190925,50.17992271824231
1881,20190926,38.67009209190863
1882,20190927,40.64515550259392
1883,20190930,36.163150488525574
1884,20191008,36.0394556199289
1885,20191009,30.88719607491218
1886,20191010,36.587013502152374
1887,20191011,32.810742076121144
1888,20191014,31.027513441642395
1889,20191015,39.41550180865277
1890,20191016,34.87904245315849
1891,20191017,34.57864594838141
1892,20191018,33.5301316253458
1893,20191021,32.20657375307944
1894,20191022,34.1834853585182
1895,20191023,32.22373462348295
1896,20191024,28.361373393075148
1897,20191025,39.19494599975383
1898,20191028,47.987312465786715
1899,20191029,47.76173846301757
1900,20191030,50.594812876087005
1901,20191031,51.578889085875076
1902,20191101,45.67189367172513
1903,20191104,43.69317603118236
1904,20191105,41.51520857589948
1905,20191106,40.33165073454366
1906,20191107,35.14649862665303
1907,20191108,38.38542734900244
1908,20191111,38.41937427974704
1909,20191112,39.27734946570387
1910,20191113,41.76820553816819
1911,20191114,47.03483354038799
1912,20191115,43.17278378745124
1913,20191118,41.992778664254296
1914,20191119,43.46794945799118
1915,20191120,44.14508888195429
1916,20191121,37.39417434271691
1917,20191122,30.639738015799825
1918,20191125,30.83388129500373
1919,20191126,31.940730496501107
1920,20191127,29.71472775000385
1921,20191128,29.367131428845973
1922,20191129,24.202590827927217
1923,20191202,24.94184689427203
1924,20191203,23.994810369542243
1925,20191204,23.774103739205607
1926,20191205,25.817672623554117
1927,20191206,25.97826905761057
1928,20191209,28.282462607462485
1929,20191210,29.185036647176755
1930,20191211,31.595356376182202
1931,20191212,27.161563143733478
1932,20191213,29.026665536360408
1933,20191216,28.245246939754683
1934,20191217,24.181497310724453
1935,20191218,21.61458788657606
1936,20191219,22.233874363497907
1937,20191220,22.433299547291256
1938,20191223,28.4854181196569
1939,20191224,28.344352984776414
1940,20191225,32.91485246174146
1941,20191226,41.46623052058091
1942,20191227,36.08823448471744
1943,20191230,38.26766674718422
1944,20191231,49.06455473331271
1945,20200102,59.09069130534926
1946,20200103,58.23975702010422
1947,20200106,43.43651759781228
1948,20200107,42.193728877644226
1949,20200108,36.40038497479523
1950,20200109,43.391925713508726
1951,20200110,44.319535257280975
1952,20200113,39.26678114901063
